Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²) †,2011 Rating * ,2011 Source EUI (kBtu/sq.ft.),2011 GHG Emissions Intensity (kgCO2e/ft²) †,2012 Rating *,2012 Source EUI (kBtu/sq.ft.),2012 GHG Emissions Intensity (kgCO2e/ft²) †,2013 Rating *,2013 Source EUI (kBtu/sq.ft.),2013 GHG Emissions Intensity (kgCO2e/ft²) †
Manhattan,93.0,1.0,1062652.0,ACS Administrative Site,ACS, 57 , 239.0 ,6.2,55,242.1,6.3,59, 228.3 , 5.9 ,64.0,217.9,5.6
Brooklyn,4484.0,13.0,3098733.0,ACS Administrative Site,ACS, 16 , 286.6 ,8.6,19,268.3,7.9,20, 258.6 , 7.6 ,24.0,252.1,7.5
Bronx,4101.0,1.0,2044743.0,ACS Bronx Field Office,ACS, 7 , 316.2 ,8.9,14,269.6,7.2,12, 273.0 , 7.4 ,12.0,282.8,7.9
Brooklyn,2022.0,18.0,3057913.0,Administration Site,ACS, 21 , 313.6 ,9.8,31,272.4,8.4,35, 257.9 , 7.5 ,37.0,256.1,7.6
Manhattan,962.0,100.0,1069579.0,Bellevue Hospital Center (Space),ACS, 96 , 343.5 ,11.3,97,329.6,10.9,99, 302.9 , 9.9 ,99.0,306.5,10.4
Queens,10155.0,29.0,4216225.0,Dual Center ACS Administrative Site,ACS, 74 , 179.4 ,5.1,76,171.1,4.9,72, 179.9 , 5.3 ,72.0,182.5,5.4
Brooklyn,139.0,1.0,3000256.0,Brooklyn Borough Hall,DCAS, 5 , 419.9 ,15.1,5,401.6,14.4,23, 286.2 , 9.0 ,29.0,270.0,8.6
Brooklyn,583.0,1.0,3008671.0,Board of Elections,BOENY, 96 , 25.8 ,0.7,100,12.1,0.3,100, 5.4 , 0.1 ,100.0,8.9,0.2
Brooklyn,701.0,1.0,3346119.0,K024,DOE, 68 , 137.6 ,4.4,76,125.4,4.0,82, 114.4 , 3.6 ,78.0,123.0,4.0
Brooklyn,1787.0,14.0,3049858.0,K025,DOE, 77 , 95.5 ,3.7,75,96.5,3.7,81, 89.6 , 3.4 ,80.0,91.1,3.7
