,year,mmbtu_metric_ton_of_steam,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_ch4,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_co2,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_co2e,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_n2o,kgch4_mw,kgco2_mwh,kgco2e_mwh,kgn20_mwh,new_york_city_population,nyc_consumption_million_gallons_per_day,per_capita_gallons_per_person_per_day,calendar_year_heat,calendar_year_annual_total_heat,calendar_year_change_from_base_year_%_heat,calendar_year_change_from_previous_year_%_heat,fiscal_year_heat,fiscal_year_annual_total_heat,fiscal_year_change_from_base_year_%_heat,fiscal_year_change_from_previous_year_%_heat,calendar_year_cool,calendar_year_annual_total_cool,fiscal_year_cool,fiscal_year_annual_total_cool,number_of_indoor_complaints,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
0,1979,,,,,,,,,,7102100.0,1512.0,213,,,,,,,,,,,,,,,,,,,,
1,1980,,,,,,,,,,7071639.0,1506.0,213,,,,,,,,,,,,,,,,,,,,
2,1981,,,,,,,,,,7089241.0,1309.0,185,,,,,,,,,,,,,,,,,,,,
3,1982,,,,,,,,,,7109105.0,1382.0,194,,,,,,,,,,,,,,,,,,,,
4,1983,,,,,,,,,,7181224.0,1424.0,198,,,,,,,,,,,,,,,,,,,,
5,1984,,,,,,,,,,7234514.0,1465.0,203,,,,,,,,,,,,,,,,,,,,
6,1985,,,,,,,,,,7274054.0,1326.0,182,,,,,,,,,,,,,,,,,,,,
7,1986,,,,,,,,,,7319246.0,1351.0,185,,,,,,,,,,,,,,,,,,,,
8,1987,,,,,,,,,,7342476.0,1447.0,197,,,,,,,,,,,,,,,,,,,,
9,1988,,,,,,,,,,7353719.0,1484.0,202,,,,,,,,,,,,,,,,,,,,
10,1989,,,,,,,,,,7344175.0,1402.0,191,,,,,,,,,,,,,,,,,,,,
11,1990,,,,,,,,,,7335650.0,1424.0,194,,,,,,,,,,,,,,303504.39999999985,0.0,0.0,0.0,0.0,0.0,0.0
12,1991,,,,,,,,,,7374501.0,1469.0,199,,,,,,,,,,,,,,2345895.000000002,0.0,0.0,0.0,0.0,0.0,0.0
13,1992,,,,,,,,,,7428944.0,1369.0,184,,,,,,,,,,,,,,2906071.8000000003,0.0,0.0,0.0,0.0,0.0,0.0
14,1993,,,,,,,,,,7506166.0,1368.5,182,,,,,,,,,,,,,,2751928.5999999987,139116.60000000003,86539.7,0.0,0.0,3422.1000000000004,0.0
15,1994,,,,,,,,,,7570458.0,1357.7,179,,,,,,,,,,,,,,2753880.199999996,256137.00000000012,162526.00000000017,0.0,0.0,2780.9,1208.6
16,1995,,,,,,,,,,7633040.0,1325.7,174,,,,,,,,,,,,,,2691016.3000000017,231199.39999999988,168124.69999999995,0.0,0.0,3322.1,1330.6
17,1996,,,,,,,,,,7697812.0,1297.9,169,,,,,,,,,,,,,,2770664.8000000007,256605.0000000001,173701.09999999995,0.0,0.0,2287.8,554.2
18,1997,,,,,,,,,,7773443.0,1205.5,155,,,,,,,,,,,,,,2691786.0000000005,221320.70000000024,193311.4999999999,0.0,0.0,4670.3,1666.0999999999992
19,1998,,,,,,,,,,7858259.0,1219.5,155,,,,,,,,,,,,,,2608081.399999999,230916.80000000005,243912.00000000035,0.0,0.0,6893.399999999999,2048.8999999999996
20,1999,,,,,,,,,,7947660.0,1237.2,156,,,,,,,,,,,,,,2576848.2999999993,243095.79999999996,275585.80000000016,0.0,0.0,18671.599999999995,2142.2
