,year,mmbtu_metric_ton_of_steam,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_ch4,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_co2,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_co2e,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_n2o,kgch4_mw,kgco2_mwh,kgco2e_mwh,kgn20_mwh,new_york_city_population,nyc_consumption_million_gallons_per_day,per_capita_gallons_per_person_per_day,calendar_year_heat,calendar_year_annual_total_heat,calendar_year_change_from_base_year_%_heat,calendar_year_change_from_previous_year_%_heat,fiscal_year_heat,fiscal_year_annual_total_heat,fiscal_year_change_from_base_year_%_heat,fiscal_year_change_from_previous_year_%_heat,calendar_year_cool,calendar_year_annual_total_cool,fiscal_year_cool,fiscal_year_annual_total_cool,number_of_indoor_complaints,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
0,1979,,,,,,,,,,0.021690662568884633,1.0000000000000002,1.0,,,,,,,,,,,,,,,,,,,,
1,1980,,,,,,,,,,0.0,0.9885013415101571,1.0,,,,,,,,,,,,,,,,,,,,
2,1981,,,,,,,,,,0.012534028513099038,0.6109620544269838,0.7083333333333333,,,,,,,,,,,,,,,,,,,,
3,1982,,,,,,,,,,0.026678781517541772,0.7508623993867383,0.802083333333333,,,,,,,,,,,,,,,,,,,,
4,1983,,,,,,,,,,0.07803326409544109,0.8313530088156382,0.84375,,,,,,,,,,,,,,,,,,,,
5,1984,,,,,,,,,,0.11597999625446054,0.9099271751628979,0.895833333333333,,,,,,,,,,,,,,,,,,,,
6,1985,,,,,,,,,,0.144135631262297,0.6435415868148715,0.6770833333333333,,,,,,,,,,,,,,,,,,,,
7,1986,,,,,,,,,,0.17631594125911398,0.6914526638558838,0.7083333333333333,,,,,,,,,,,,,,,,,,,,
8,1987,,,,,,,,,,0.1928575548461655,0.875431199693369,0.833333333333333,,,,,,,,,,,,,,,,,,,,
9,1988,,,,,,,,,,0.2008634679567649,0.9463395937140666,0.8854166666666665,,,,,,,,,,,,,,,,,,,,
10,1989,,,,,,,,,,0.19406737841415556,0.7891912610195477,0.7708333333333333,,,,,,,,,,,,,,,,,,,,
11,1990,,,,,,,,,,0.18799689818042253,0.8313530088156382,0.802083333333333,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1991,,,,,,,,,,0.21566191021101044,0.9175929474894595,0.8541666666666665,,,,,,,,,,,,,,0.737057630312003,0.0,0.0,0.0,0.0,0.0,0.0
13,1992,,,,,,,,,,0.2544296703711426,0.7259486393254122,0.6979166666666665,,,,,,,,,,,,,,0.939214154516413,0.0,0.0,0.0,0.0,0.0,0.0
14,1993,,,,,,,,,,0.3094178961317686,0.7249904177845921,0.6770833333333333,,,,,,,,,,,,,,0.8835869783432019,0.3738121929382384,0.2770493850084197,0.0,0.0,0.1832783478652071,0.0
